學年度,階段,學號,宿舍,房號,是否確認
105,保留原寢,0452709,博愛二舍,104,
105,保留原寢,0457002,博愛二舍,104,
105,保留原寢,0383404,博愛二舍,119,
105,保留原寢,0481205,博愛二舍,202,
105,保留原寢,0487103,博愛二舍,202,
105,保留原寢,0056702,博愛二舍,203,
105,保留原寢,0360315,博愛二舍,204,
105,保留原寢,0460221,博愛二舍,204,
105,保留原寢,0359309,博愛二舍,205,
105,保留原寢,0457007,博愛二舍,205,
105,保留原寢,0087202,博愛二舍,209,
105,保留原寢,0451229,博愛二舍,214,
105,保留原寢,0453129,博愛二舍,214,
105,保留原寢,0250122,博愛二舍,215,
105,保留原寢,0352219,博愛二舍,216,
105,保留原寢,0352305,博愛二舍,216,
105,保留原寢,0456509,博愛二舍,218,
105,保留原寢,0456529,博愛二舍,218,
105,保留原寢,0450101,博愛二舍,220,
105,保留原寢,0450565,博愛二舍,303,
105,保留原寢,0451109,博愛二舍,303,
105,保留原寢,0451012,博愛二舍,304,
105,保留原寢,0451721,博愛二舍,304,
105,保留原寢,0459310,博愛二舍,305,
105,保留原寢,0459311,博愛二舍,305,
105,保留原寢,0457108,博愛二舍,306,
105,保留原寢,0459303,博愛二舍,306,
105,保留原寢,0453313,博愛二舍,309,
105,保留原寢,0453321,博愛二舍,309,
105,保留原寢,0453415,博愛二舍,311,
105,保留原寢,0453420,博愛二舍,311,
105,保留原寢,0453105,博愛二舍,317,
105,保留原寢,0453115,博愛二舍,317,
105,保留原寢,9929515,博愛二舍,321,
105,保留原寢,9932802,四宿舍,102,
105,保留原寢,9951501,四宿舍,103,
105,保留原寢,9811543,四宿舍,105,
105,保留原寢,0281701,四宿舍,106,
105,保留原寢,0157111,四宿舍,107,
105,保留原寢,0082601,四宿舍,110,
105,保留原寢,0086054,四宿舍,111,
105,保留原寢,9811555,四宿舍,112,
105,保留原寢,0187101,四宿舍,114,
105,保留原寢,0080009,四宿舍,115,
105,保留原寢,0182603,四宿舍,119,
105,保留原寢,0382201,四宿舍,120,
105,保留原寢,9813819,四宿舍,201,
105,保留原寢,9955843,四宿舍,202,
105,保留原寢,9921806,四宿舍,204,
105,保留原寢,0287025,四宿舍,205,
105,保留原寢,0151503,四宿舍,212,
105,保留原寢,0481519,四宿舍,214,
105,保留原寢,0481521,四宿舍,214,
105,保留原寢,0052503,四宿舍,216,
105,保留原寢,9811507,四宿舍,218,
105,保留原寢,0150507,四宿舍,219,
105,保留原寢,0082003,四宿舍,301,
105,保留原寢,9811594,四宿舍,302,
105,保留原寢,9924819,四宿舍,304,
105,保留原寢,0057202,四宿舍,307,
105,保留原寢,0287101,四宿舍,308,
105,保留原寢,0089605,四宿舍,309,
105,保留原寢,0382601,四宿舍,310,
105,保留原寢,0086015,四宿舍,316,
105,保留原寢,9955818,四宿舍,316,
105,保留原寢,9912820,四宿舍,319,
105,保留原寢,9912816,四宿舍,321,
